id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;estado;categori;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40_2;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;fexp
1;1;1;1;18;2;1;5;1;3;0;0;0;1;6.0;1;1;1;6900;5;2;3;1;10333;0;0;3;1;0;2;1;1200;1;1200;2;0;2;0;1;2000;1;3200;1;3200;3200.0;1;3;2;94
2;1;1;2;18;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;4500;1;4500;1;4500;4500.0;1;3;2;136
2;2;1;2;20;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;15000;9;15000;9;15000;15000.0;1;3;1;136
3;1;1;1;18;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;5000;1;5000;1;5000;5000.0;1;3;3;93
4;1;1;2;18;2;1;1;1;3;0;0;0;1;20.0;2;0;2;9700;9;0;0;0;57314;0;0;3;1;0;2;1;2000;1;2000;2;0;2;0;2;0;1;2000;1;12000;6000.0;2;2;1;376
4;1;2;2;27;1;2;1;1;3;0;0;0;1;46.0;2;0;2;5300;4;2;2;1;10203;0;0;1;1;0;2;1;10000;1;10000;2;0;2;0;2;0;1;10000;1;12000;6000.0;2;4;2;376
5;1;1;1;19;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;5000;9;5000;9;5000;5000.0;1;3;4;545
6;1;1;1;19;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;15000;1;15000;9;31000;15500.0;1;3;4;622
6;1;2;1;30;1;4;5;1;3;0;0;0;1;35.0;1;1;1;6900;5;2;2;1;11331;0;0;1;1;0;2;9;13000;9;13000;2;0;2;0;9;3000;9;16000;9;31000;15500.0;1;4;3;622
7;1;1;1;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;5000;2500.0;1;3;2;1000
7;1;2;1;25;2;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;5000;1;5000;1;5000;2500.0;1;3;2;1000
8;1;1;3;20;2;1;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;600;300.0;1;1;1;371
8;1;2;3;19;1;2;1;1;3;0;0;0;1;40.0;2;0;2;8401;6;1;2;1;56314;0;0;3;2;3;0;1;3500;2;0;2;0;2;0;1;600;1;600;1;600;300.0;1;1;1;371
9;1;1;3;20;1;1;5;1;1;0;0;0;2;20.0;2;0;2;4000;2;2;3;1;5002;1;2;0;0;0;0;1;4000;1;6000;2;0;2;0;2;0;1;6000;1;6000;6000.0;1;1;1;830
10;1;1;1;20;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;5790;1;5790;1;17580;8790.0;1;3;2;642
10;1;2;1;20;2;4;5;1;3;0;0;0;1;35.0;2;0;2;6900;5;2;2;1;20333;0;0;3;1;0;2;1;6000;1;6000;2;0;2;0;1;5790;1;11790;1;17580;8790.0;1;3;2;642
11;1;1;1;20;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;6500;1;6500;1;14500;7250.0;1;3;4;1027
11;1;2;1;20;2;6;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;8000;1;8000;1;14500;7250.0;1;3;4;1027
