id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;estado;categori;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40_2;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;fexp
1;1;1;2;18;2;1;2;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2700;1;2700;1;2700;900.0;2;1;1;1137
1;1;2;2;2;1;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2700;900.0;1;1;1;1137
1;1;3;2;1;1;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2700;900.0;3;1;1;1137
1;2;1;2;56;2;1;2;1;3;1;1;2;0;0.0;0;0;2;9700;9;0;0;0;55314;0;0;3;1;0;2;9;5000;9;5000;2;0;2;0;1;800;9;5800;9;5800;5800.0;2;1;1;1137
2;1;1;3;18;2;1;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;4000;1;4000;1;8000;4000.0;2;1;3;359
2;1;2;3;20;2;4;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;4000;1;4000;1;8000;4000.0;1;3;3;359
3;1;1;2;19;2;1;5;1;3;0;0;0;1;48.0;2;0;2;5601;3;2;2;1;53314;0;0;3;1;0;2;1;12000;1;12000;2;0;2;0;2;0;1;12000;1;12000;12000.0;1;1;1;398
4;1;1;1;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;160;2;0;2;0;1;5000;1;5160;1;5160;5160.0;1;3;2;1231
5;1;1;1;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;3000;1;3000;1;14000;7000.0;1;3;3;492
5;1;2;1;22;2;4;5;1;3;0;0;0;1;40.0;2;0;1;8401;6;1;2;1;11333;0;0;1;1;0;2;1;11000;1;11000;2;0;2;0;2;0;1;11000;1;14000;7000.0;1;3;3;492
6;1;1;2;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;14000;1;14000;1;22000;7333.3;1;3;1;1224
6;1;2;2;20;2;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;22000;7333.3;1;3;1;1224
