id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;estado;categori;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40_2;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;fexp
1;1;1;1;16;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2500;1;2500;1;2500;2500.0;1;1;1;653
2;1;1;1;18;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;10000;1;10000;1;10000;10000.0;1;3;2;1357
3;1;1;1;19;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;8000;1;8000;1;8000;8000.0;1;3;1;788
4;1;1;1;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;9;16000;9;16000;9;16000;9;21400;10700.0;1;3;4;1206
4;1;2;1;21;1;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;9;5400;9;5400;9;5400;9;21400;10700.0;1;3;4;1206
4;1;3;1;48;2;5;5;1;3;0;0;0;1;70.0;2;0;2;9700;9;0;0;0;55314;0;0;3;1;0;2;1;10000;1;10000;2;0;2;0;2;0;1;10000;9;21400;10700.0;2;1;1;1206
5;1;1;1;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;7000;1;7000;1;14000;7000.0;1;3;2;566
5;1;2;1;18;2;6;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;7000;1;7000;1;14000;7000.0;2;2;2;566
6;1;1;2;19;1;1;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;0.0;1;3;1;122
6;2;1;2;25;1;1;5;1;3;0;0;0;1;48.0;1;1;1;5601;3;2;2;1;53314;0;0;2;1;0;2;1;12000;1;12000;2;0;2;0;2;0;1;12000;1;12000;12000.0;2;2;2;122
7;1;1;1;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;5600;1;5600;1;5600;5600.0;1;3;1;101
8;1;1;1;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2800;1;2800;1;8400;2800.0;1;3;2;741
8;1;2;1;19;2;6;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2800;1;2800;1;8400;2800.0;1;3;2;741
8;1;3;1;19;1;6;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2800;1;2800;1;8400;2800.0;1;3;2;741
9;1;1;3;19;2;1;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2200;1;2200;9;6200;1550.0;2;1;1;403
9;1;2;3;18;1;2;1;1;2;0;0;0;2;21.0;1;1;1;4000;2;2;5;1;72113;2;0;0;0;0;0;9;4000;9;4000;2;0;2;0;2;0;9;4000;9;6200;1550.0;2;1;1;403
9;1;3;3;3;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;6200;1550.0;1;1;1;403
9;1;4;3;1;1;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;6200;1550.0;3;1;1;403
10;1;1;3;20;1;1;5;1;3;0;0;0;1;42.0;2;0;2;5601;3;2;2;1;53314;0;0;3;1;0;2;1;13800;1;13800;2;0;2;0;2;0;1;13800;1;41800;10450.0;1;3;1;847
10;1;2;3;27;2;4;5;1;3;0;0;0;1;48.0;2;0;2;8600;7;1;2;2;56314;0;0;1;1;0;2;1;13000;1;13000;2;0;2;0;2;0;1;13000;1;41800;10450.0;1;3;2;847
10;1;3;3;25;2;4;5;1;3;0;0;0;1;40.0;2;0;2;8401;6;1;2;1;53314;0;0;1;1;0;2;1;15000;1;15000;2;0;2;0;2;0;1;15000;1;41800;10450.0;2;2;2;847
10;1;4;3;3;1;4;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;41800;10450.0;1;1;2;847
11;1;1;1;20;1;1;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20000;1;20000;1;20000;20000.0;1;3;2;574
12;1;1;2;20;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;3000;1;3000;1;3000;3000.0;1;3;5;664
13;1;1;1;20;1;1;5;1;3;0;0;0;1;20.0;2;0;1;6900;5;2;2;1;11332;0;0;3;1;0;2;1;3000;1;3000;2;0;2;0;1;2000;1;5000;1;11000;5500.0;1;3;4;745
13;1;2;1;20;1;6;5;1;3;0;0;0;1;20.0;2;0;2;8401;6;1;2;2;50322;0;0;3;1;0;2;1;6000;1;6000;2;0;2;0;2;0;1;6000;1;11000;5500.0;1;3;4;745
