id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;estado;categori;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40_2;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;fexp
1;1;1;1;18;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10000;2;0;2;0;2;0;1;10000;1;10000;10000.0;1;3;4;820
2;1;1;1;18;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;4000;1;4000;1;4000;4000.0;1;3;4;808
3;1;1;3;18;2;1;1;1;3;0;0;0;1;8.0;1;1;2;9700;9;0;0;0;55314;0;0;3;1;0;2;1;1600;1;1600;2;0;2;0;2;0;1;1600;1;7600;2533.3;2;1;1;366
3;1;2;3;1;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7600;2533.3;3;1;1;366
3;1;3;3;20;1;2;1;1;3;0;0;0;1;24.0;1;1;2;2500;1;2;2;1;80314;0;0;3;1;0;2;1;6000;1;6000;2;0;2;0;2;0;1;6000;1;7600;2533.3;2;1;1;366
4;1;1;1;19;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;0.0;1;3;2;569
5;1;1;1;19;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;5000;1;5000;1;19500;9750.0;1;3;4;734
5;1;2;1;30;1;4;5;1;3;0;0;0;1;40.0;2;0;1;6900;5;2;2;1;11331;0;0;2;1;0;1;1;7000;1;10000;2;0;2;0;1;4500;1;14500;1;19500;9750.0;2;4;4;734
6;1;1;1;19;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;6000;1;6000;1;6000;6000.0;1;3;3;662
7;1;1;2;20;1;1;1;1;3;0;0;0;2;54.0;1;2;1;4502;3;2;2;1;56314;0;0;1;1;0;2;1;5000;1;8000;2;0;2;0;2;0;1;8000;1;12500;6250.0;2;1;2;593
7;1;2;2;20;2;2;1;1;3;0;0;0;1;24.0;2;0;1;4803;3;2;2;1;53314;0;0;1;1;0;2;1;4500;1;4500;2;0;2;0;2;0;1;4500;1;12500;6250.0;1;1;2;593
8;1;1;2;20;2;1;1;1;3;0;0;0;1;53.0;2;0;2;9700;9;0;0;0;57314;0;0;3;1;0;2;1;3000;1;3000;2;0;2;0;2;0;1;3000;1;8000;2000.0;2;1;1;601
8;1;2;2;32;1;2;1;1;3;0;0;0;1;54.0;2;0;2;4803;3;2;2;1;30313;0;0;1;2;3;0;1;7500;1;5000;2;0;2;0;2;0;1;5000;1;8000;2000.0;2;1;1;601
8;1;3;2;43;1;6;2;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;8000;2000.0;2;1;1;601
8;1;4;2;6;1;6;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8000;2000.0;2;1;1;601
9;1;1;2;20;2;1;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;1300;1;1300;1;1800;450.0;2;1;1;316
9;1;2;2;23;1;2;1;1;2;0;0;0;1;22.0;1;1;1;4000;2;2;1;1;72113;2;0;0;0;0;0;1;500;1;500;2;0;2;0;2;0;1;500;1;1800;450.0;2;1;1;316
9;1;3;2;3;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1800;450.0;1;1;1;316
9;1;4;2;2;1;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1800;450.0;1;1;1;316
10;1;1;3;21;1;1;1;1;3;0;0;0;1;40.0;2;0;2;8401;6;1;2;2;72313;0;0;1;1;0;2;1;17000;1;17000;2;0;2;0;2;0;1;17000;1;17000;4250.0;1;1;2;763
10;1;2;3;24;2;2;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;17000;4250.0;2;1;2;763
10;1;3;3;6;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17000;4250.0;1;1;2;763
10;1;4;3;5;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17000;4250.0;1;1;2;763
11;1;1;1;21;1;1;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1500;2;0;2;0;1;3500;1;5000;1;13000;6500.0;1;3;4;820
11;1;2;1;21;1;6;5;1;3;0;0;0;1;40.0;2;0;2;6200;5;2;2;1;81331;0;0;1;1;0;2;1;8000;1;8000;2;0;2;0;2;0;1;8000;1;13000;6500.0;1;3;1;820
12;1;1;1;21;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;6000;1;6000;1;6000;6000.0;1;3;4;1201
13;1;1;2;21;2;1;5;1;3;0;0;0;1;63.0;1;2;1;5601;3;2;2;1;53314;0;0;3;1;0;2;9;3000;9;3000;2;0;2;0;2;0;9;3000;9;25000;8333.3;1;3;1;570
13;1;2;2;23;1;4;5;1;3;0;0;0;1;54.0;2;0;2;4806;3;2;2;1;30333;0;0;1;1;0;2;9;12000;9;12000;2;0;2;0;2;0;9;12000;9;25000;8333.3;2;2;2;570
13;1;3;2;58;1;4;1;1;3;0;0;0;1;40.0;2;0;2;9200;8;2;2;1;20331;0;0;1;1;0;2;9;10000;9;10000;2;0;2;0;2;0;9;10000;9;25000;8333.3;2;4;2;570
14;1;1;2;21;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;10000;1;10000;1;19000;9500.0;1;3;4;1943
14;1;2;2;24;1;4;5;1;3;0;0;0;1;45.0;2;0;2;7000;5;2;2;2;20333;0;0;1;1;0;2;1;9000;1;9000;2;0;2;0;2;0;1;9000;1;19000;9500.0;1;3;3;1943
