id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;estado;categori;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40_2;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;fexp
1;1;1;2;18;2;1;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;1500;1;1500;1;1500;1500.0;2;2;1;236
2;1;1;1;18;1;1;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;6000;1;6000;1;12000;6000.0;2;3;4;786
2;1;2;1;18;1;6;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;6000;1;6000;1;12000;6000.0;1;3;4;786
3;1;1;3;19;2;1;1;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2400;2;0;2;0;1;800;1;3200;1;3200;1066.7;1;1;1;336
3;1;2;3;22;1;2;1;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;3200;1066.7;2;1;1;336
3;1;3;3;2;1;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3200;1066.7;3;1;1;336
4;1;1;1;19;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;600;1;600;1;1200;600.0;1;3;4;488
4;1;2;1;22;2;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;600;1;600;1;1200;600.0;1;3;4;488
5;1;1;3;19;1;1;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;6500;1;6500;1;12700;6350.0;1;3;1;140
5;1;2;3;19;1;6;5;1;3;0;0;0;1;36.0;2;0;2;9409;8;3;5;1;46313;0;0;3;1;0;2;1;6200;1;6200;2;0;2;0;2;0;1;6200;1;12700;6350.0;2;1;2;140
6;1;1;1;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;5000;1;5000;1;5000;5000.0;1;3;2;596
7;1;1;1;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;3800;1;3800;1;20800;10400.0;1;3;3;425
7;1;2;1;22;2;4;5;1;3;0;0;0;1;40.0;2;0;2;8401;6;1;2;1;10333;0;0;1;1;0;1;1;12000;1;17000;2;0;2;0;2;0;1;17000;1;20800;10400.0;1;3;3;425
8;1;1;2;19;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2500;1;2500;1;4500;2250.0;1;3;2;1368
8;1;2;2;19;1;6;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2000;1;2000;1;4500;2250.0;1;3;1;1368
9;1;1;2;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;9000;1;9000;1;9000;9000.0;1;3;2;1122
10;1;1;1;19;2;1;5;1;3;0;0;0;1;44.0;2;0;1;8600;7;2;2;2;10333;0;0;1;1;0;2;1;8000;1;8000;2;0;2;0;2;0;1;8000;1;22400;11200.0;1;3;5;817
10;1;2;1;21;2;4;5;1;3;0;0;0;1;30.0;2;0;2;8600;7;3;2;2;10333;0;0;1;1;0;2;1;8000;1;8000;2;0;2;0;1;6400;1;14400;1;22400;11200.0;1;3;2;817
11;1;1;3;19;1;1;5;1;3;0;0;0;1;72.0;2;0;1;5601;3;2;2;1;53314;0;0;3;1;0;2;1;7800;1;7800;2;0;2;0;2;0;1;7800;1;7800;7800.0;2;1;1;743
