id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;estado;categori;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40_2;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;fexp
1;1;1;3;16;1;1;5;1;3;0;0;0;1;35.0;2;0;2;3100;1;3;2;1;80313;0;0;3;1;0;2;1;2000;1;2000;2;0;2;0;2;0;1;2000;1;2000;2000.0;2;1;1;166
2;1;1;1;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;15000;1;15000;1;15000;15000.0;1;3;4;1309
3;1;1;3;19;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;15000;1;15000;1;15000;15000.0;1;3;2;454
4;1;1;1;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;3000;1;3000;1;3000;3000.0;1;3;5;114
5;1;1;2;19;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;5000;1;5000;1;5000;5000.0;1;3;2;1139
6;1;1;2;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;0.0;2;1;1;325
6;1;2;2;26;2;4;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;0.0;2;2;1;325
6;1;3;2;4;1;4;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0.0;3;1;1;325
7;1;1;3;19;1;1;1;1;3;0;0;0;1;48.0;2;0;2;8401;6;1;2;1;82333;0;0;1;1;0;2;1;25000;1;25000;2;0;2;0;2;0;1;25000;1;25000;12500.0;2;2;2;62
7;1;2;3;21;2;2;1;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;25000;12500.0;2;2;1;62
8;1;1;3;19;1;1;5;1;3;0;0;0;1;63.0;2;0;2;4000;2;3;2;2;72313;0;0;3;1;0;2;1;10000;1;10000;2;0;2;0;2;0;1;10000;1;10000;10000.0;2;1;1;259
9;1;1;2;19;1;1;1;1;2;0;0;0;1;35.0;1;1;1;4000;2;2;5;1;72113;2;0;0;0;0;0;1;8000;1;8000;2;0;2;0;2;0;1;8000;1;8000;4000.0;2;1;1;179
9;1;2;2;22;2;2;1;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;8000;4000.0;2;1;1;179
10;1;1;1;20;2;1;5;1;3;0;0;0;1;4.0;2;0;2;9700;9;0;0;0;57314;0;0;3;1;0;2;1;3500;1;3500;2;0;2;0;1;6000;1;9500;1;15500;7750.0;1;3;2;1263
10;1;2;1;22;2;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;6000;1;6000;1;15500;7750.0;1;3;2;1263
11;1;1;1;20;2;1;5;1;3;0;0;0;1;31.3;2;0;2;5601;3;2;2;1;53314;0;0;3;1;0;2;1;11000;1;11000;2;0;2;0;1;15000;1;26000;1;26000;26000.0;1;3;3;898
12;1;1;1;20;2;1;5;1;3;0;0;0;1;30.0;2;0;1;4807;3;2;2;1;30333;0;0;3;1;0;2;1;14000;1;14000;2;0;2;0;1;6500;1;20500;1;20500;20500.0;1;3;4;1423
13;1;1;1;20;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;7000;1;7000;1;14000;7000.0;1;3;3;785
13;1;2;1;21;1;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;7000;1;7000;1;14000;7000.0;1;3;3;785
14;1;1;2;20;2;1;5;1;3;0;0;0;1;24.0;2;0;2;8401;6;1;2;2;43313;0;0;2;1;0;2;1;16500;1;16500;2;0;2;0;2;0;1;16500;1;16500;16500.0;1;3;2;590
15;1;1;1;20;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;2000;9;2000;9;9000;4500.0;1;3;2;559
15;1;2;1;18;1;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;7000;9;7000;9;9000;4500.0;1;3;2;559
16;1;1;1;20;2;1;5;1;3;0;0;0;1;20.0;2;0;2;7000;5;2;2;2;10333;0;0;1;1;0;2;1;10000;1;10000;2;0;2;0;2;0;1;10000;1;10000;10000.0;1;3;5;798
17;1;1;1;20;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;12000;1;12000;9;58500;19500.0;1;3;5;545
17;1;2;1;19;1;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;12000;1;12000;9;58500;19500.0;1;3;5;545
17;1;3;1;23;1;4;5;1;3;0;0;0;1;30.0;2;0;2;8401;6;1;2;1;10333;0;0;1;1;0;2;9;34500;9;34500;2;0;2;0;2;0;9;34500;9;58500;19500.0;2;2;5;545
18;1;1;2;20;2;1;5;1;3;0;0;0;1;25.0;2;0;2;6900;5;2;2;1;11331;0;0;1;1;0;2;1;11000;1;11000;2;0;2;0;1;8600;1;19600;1;19600;19600.0;1;3;2;635
19;1;1;2;20;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2000;1;2000;1;14000;7000.0;1;3;3;724
19;1;2;2;23;2;4;5;1;3;0;0;0;1;16.0;2;0;2;7000;5;2;2;2;32333;0;0;3;1;0;2;1;10000;1;10000;2;0;2;0;1;2000;1;12000;1;14000;7000.0;1;3;3;724
20;1;1;1;20;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;15000;1;15000;1;15000;15000.0;1;3;2;113
21;1;1;1;20;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;4000;1;4000;1;8000;4000.0;1;3;2;1231
21;1;2;1;23;1;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;4000;1;4000;1;8000;4000.0;1;3;2;1231
22;1;1;3;20;1;1;1;1;3;0;0;0;1;4.0;1;1;2;4000;2;2;2;1;72314;0;0;3;1;0;2;1;2000;1;2000;2;0;2;0;2;0;1;2000;1;2000;500.0;2;1;1;350
22;1;2;3;20;2;2;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;2000;500.0;2;1;1;350
22;1;3;3;4;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2000;500.0;1;1;1;350
22;1;4;3;2;1;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2000;500.0;1;1;1;350
23;1;1;3;20;2;1;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;1200;1;1200;1;17200;5733.3;2;1;1;495
23;1;2;3;23;1;2;1;1;3;0;0;0;1;40.0;2;0;2;4000;2;2;2;2;72313;0;0;3;1;0;2;1;16000;1;16000;2;0;2;0;2;0;1;16000;1;17200;5733.3;2;1;1;495
23;1;3;3;1;1;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17200;5733.3;3;1;1;495
24;1;1;1;21;2;1;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;13000;1;13000;1;13000;13000.0;1;3;4;596
24;2;1;1;24;2;1;5;1;3;0;0;0;1;18.0;1;1;1;4809;3;2;2;2;36333;0;0;1;1;0;2;1;1500;1;1500;2;0;2;0;1;12000;1;13500;1;13500;13500.0;2;4;2;596
24;3;1;1;25;1;1;2;1;3;0;0;0;1;30.0;1;1;1;9100;8;1;2;2;10313;0;0;2;1;0;2;1;15000;1;15000;2;0;2;0;1;5000;1;20000;1;20000;20000.0;1;3;2;596
25;1;1;1;21;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;8000;1;8000;1;16000;8000.0;1;3;2;545
25;1;2;1;20;2;6;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;8000;1;8000;1;16000;8000.0;1;3;2;545
26;1;1;2;21;1;1;5;1;3;0;0;0;1;40.0;2;0;2;8401;6;1;2;2;81331;0;0;2;1;0;2;1;31000;1;31000;2;0;2;0;2;0;1;31000;1;31000;31000.0;1;3;4;1327
27;1;1;1;21;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;17000;1;17000;1;77000;19250.0;1;3;1;818
27;1;2;1;18;2;6;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20000;1;20000;1;77000;19250.0;1;3;1;818
27;1;3;1;18;1;6;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20000;1;20000;1;77000;19250.0;1;3;1;818
27;1;4;1;19;1;6;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20000;1;20000;1;77000;19250.0;1;3;1;818
28;1;1;3;21;1;1;5;1;3;0;0;0;2;63.0;2;0;1;5601;3;2;2;1;34314;0;0;2;1;0;2;1;8000;1;8000;2;0;2;0;2;0;1;8000;1;8000;8000.0;2;1;1;259
29;1;1;2;21;2;1;5;1;3;1;1;1;0;0.0;0;0;1;9700;9;0;0;0;57314;0;0;3;1;0;2;1;7000;1;7000;2;0;2;0;1;3100;1;10100;1;10100;5050.0;2;1;1;591
29;1;2;2;3;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10100;5050.0;1;1;1;591
30;1;1;2;21;1;1;5;1;3;0;0;0;1;48.0;2;0;2;8600;7;2;2;2;10333;0;0;1;1;0;2;1;33000;1;33000;2;0;2;0;2;0;1;33000;1;33000;33000.0;2;2;3;450
31;1;1;1;21;1;1;5;1;3;0;0;0;1;40.0;2;0;2;5601;3;2;2;1;34314;0;0;3;1;0;2;1;21000;1;21000;2;0;2;0;2;0;1;21000;1;21000;21000.0;2;1;1;785
32;1;1;3;22;2;1;2;1;3;0;0;0;1;8.0;1;1;1;4803;3;2;2;1;33314;0;0;3;1;0;2;1;2000;1;2000;2;0;2;0;1;700;1;2700;1;2700;900.0;2;1;1;320
32;1;2;3;5;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2700;900.0;1;1;1;320
32;1;3;3;2;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2700;900.0;1;1;1;320
33;1;1;1;23;2;1;5;1;3;0;0;0;1;15.0;1;1;2;7100;5;2;3;1;72332;0;0;3;1;0;2;1;7000;1;7000;2;0;2;0;1;15000;1;22000;1;22000;22000.0;1;3;2;1255
34;1;1;2;23;1;1;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;12000;1;12000;1;24000;12000.0;1;3;1;199
34;1;2;2;19;2;2;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;12000;1;12000;1;24000;12000.0;1;3;1;199
35;1;1;1;23;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;7000;1;7000;1;27000;13500.0;1;3;3;542
35;1;2;1;25;2;4;5;1;3;0;0;0;1;40.0;2;0;2;6200;5;2;2;2;10332;0;0;1;1;0;2;1;20000;1;20000;2;0;2;0;2;0;1;20000;1;27000;13500.0;2;4;5;542
36;1;1;2;23;1;1;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;40000;1;40000;1;80000;40000.0;1;3;4;712
36;1;2;2;28;2;2;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;40000;1;40000;1;80000;40000.0;2;4;1;712
37;1;1;1;23;2;1;1;1;2;0;0;0;1;35.0;1;1;2;5900;5;2;1;1;45132;2;0;0;0;0;0;1;10000;1;10000;2;0;2;0;2;0;1;10000;1;22000;11000.0;1;3;2;1497
37;1;2;1;22;1;2;1;1;2;0;0;0;1;35.0;1;1;1;5900;5;2;1;1;45132;2;0;0;0;0;0;1;10000;1;10000;2;0;2;0;1;2000;1;12000;1;22000;11000.0;1;3;5;1497
38;1;1;1;23;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;17000;1;17000;1;17000;17000.0;1;3;1;544
39;1;1;2;23;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2700;1;2700;1;2700;2700.0;1;3;1;455
40;1;1;1;23;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;10000;1;10000;1;10000;10000.0;1;3;2;819
41;1;1;1;23;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20000;1;20000;1;20000;20000.0;1;3;2;114
42;1;1;1;23;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;20000;2;0;1;30000;1;30000;1;30000;30000.0;1;3;2;838
43;1;1;2;23;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;9800;1;9800;1;9800;9800.0;1;3;2;356
44;1;1;2;23;1;1;1;1;3;0;0;0;1;44.0;1;1;2;7400;5;2;2;1;72313;0;0;3;1;0;2;1;19000;1;19000;2;0;2;0;2;0;1;19000;1;40000;13333.3;2;1;1;2053
44;1;2;2;22;2;2;1;1;3;0;0;0;1;30.0;1;1;1;8401;6;1;2;1;10333;0;0;2;1;0;2;1;19500;1;19500;2;0;2;0;1;1500;1;21000;1;40000;13333.3;2;2;4;2053
44;1;3;2;7;1;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;40000;13333.3;1;1;4;2053
45;1;1;2;23;2;1;1;1;3;0;0;0;1;20.0;2;0;2;4807;3;2;2;2;30333;0;0;1;1;0;2;1;16000;1;16000;2;0;2;0;2;0;1;16000;1;38000;12666.7;2;2;5;512
45;1;2;2;25;1;2;1;1;3;0;0;0;1;40.0;2;0;2;3200;1;2;3;1;80203;0;0;1;1;0;2;1;22000;1;22000;2;0;2;0;2;0;1;22000;1;38000;12666.7;2;1;2;512
45;1;3;2;2;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;38000;12666.7;1;1;2;512
46;1;1;1;23;2;1;5;1;3;0;0;0;1;30.0;2;0;2;4809;3;2;2;2;10333;0;0;1;1;0;2;1;18000;1;18000;2;0;2;0;1;10000;1;28000;1;28000;28000.0;2;2;2;1077
47;1;1;2;23;1;1;1;1;3;0;0;0;1;72.0;2;0;2;8401;6;1;4;2;49313;0;0;1;1;0;2;1;19100;1;19100;2;0;2;0;2;0;1;19100;9;20600;5150.0;2;2;2;400
47;1;2;2;24;2;2;1;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;1500;9;1500;9;20600;5150.0;2;3;2;400
47;1;3;2;8;1;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;20600;5150.0;1;1;2;400
