id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;estado;categori;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40_2;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;fexp
1;1;1;3;18;2;1;1;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;5000;1;5000;1;30000;15000.0;1;1;2;67
1;1;2;3;36;1;2;1;1;3;0;0;0;1;40.0;1;1;2;4807;3;2;2;1;30334;0;0;1;1;0;2;1;20000;1;20000;2;0;2;0;1;5000;1;25000;1;30000;15000.0;2;2;2;67
2;1;1;3;18;2;1;2;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;2860;1;2860;1;17860;5953.3;2;1;1;389
2;1;2;3;3;1;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17860;5953.3;1;1;1;389
2;1;3;3;24;1;4;5;1;3;0;0;0;1;60.0;2;0;2;1400;1;2;2;1;80313;0;0;1;1;0;2;1;15000;1;15000;2;0;2;0;2;0;1;15000;1;17860;5953.3;2;2;2;389
3;1;1;1;19;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;0.0;1;3;2;873
3;1;2;1;17;1;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;0.0;1;3;2;873
4;1;1;2;20;2;1;2;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;9000;1;9000;1;9000;9000.0;1;3;1;1764
5;1;1;1;20;1;1;1;1;3;0;0;0;1;30.0;2;0;2;5601;3;2;2;1;6001;0;0;1;1;0;2;1;14000;1;14000;2;0;2;0;2;0;1;14000;9;27000;13500.0;2;2;2;922
5;1;2;1;19;2;2;1;1;3;0;0;0;1;30.0;2;0;2;8200;5;2;2;2;10333;0;0;1;1;0;2;9;13000;9;13000;2;0;2;0;2;0;9;13000;9;27000;13500.0;2;2;2;922
6;1;1;2;20;1;1;1;1;3;0;0;0;1;42.0;2;0;2;5300;4;2;5;1;35314;0;0;2;1;0;2;1;13000;1;13000;2;0;2;0;2;0;1;13000;1;13000;6500.0;2;1;2;537
6;1;2;2;19;2;2;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;13000;6500.0;2;1;1;537
7;1;1;2;20;1;1;5;1;3;0;0;0;1;48.0;2;0;2;4803;3;2;2;1;20313;0;0;3;1;0;2;1;7500;1;7500;2;0;2;0;2;0;1;7500;1;7700;3850.0;2;1;1;297
7;1;2;2;16;1;4;5;1;3;0;0;0;1;24.0;2;0;2;4803;3;2;2;1;32314;0;0;3;2;3;0;1;700;2;0;2;0;2;0;1;200;1;200;1;7700;3850.0;1;1;1;297
8;1;1;3;20;1;1;2;1;3;0;0;0;1;40.0;2;0;1;4803;3;2;2;1;32313;0;0;3;2;1;2;9;7000;2;0;2;0;2;0;2;0;2;0;1;3000;1500.0;2;1;1;707
8;1;2;3;24;1;4;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;3000;1;3000;1;3000;1500.0;2;1;1;707
9;1;1;2;21;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;3000;1;3000;1;25500;12750.0;1;3;2;583
9;1;2;2;25;2;4;5;1;3;1;2;2;0;0.0;0;0;2;8401;6;1;2;2;42331;0;0;2;1;0;2;1;18000;1;18000;2;0;2;0;1;4500;1;22500;1;25500;12750.0;1;4;1;583
10;1;1;1;21;1;1;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;19000;1;19000;1;59000;19666.7;1;3;1;663
10;1;2;1;22;1;6;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20000;1;20000;1;59000;19666.7;1;3;4;663
10;1;3;1;22;1;6;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20000;1;20000;1;59000;19666.7;1;3;4;663
11;1;1;1;21;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20000;1;20000;1;20000;20000.0;1;3;4;978
12;1;1;1;21;1;1;5;1;1;0;0;0;1;20.0;2;0;2;4808;3;2;4;1;6001;2;0;0;0;0;0;9;25000;9;25000;2;0;2;0;1;2000;9;27000;9;27000;27000.0;1;3;2;994
13;1;1;1;21;2;1;5;1;2;1;1;1;0;0.0;0;0;2;1009;1;2;1;1;80113;2;0;0;0;0;0;2;0;2;0;2;0;2;0;1;4000;1;4000;1;38000;12666.7;1;3;4;411
