id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;estado;categori;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40_2;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;fexp
1;1;1;1;16;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;10000;9;10000;9;10000;10000.0;1;1;1;790
2;1;1;1;19;2;1;5;1;3;0;0;0;1;31.0;2;0;2;5601;3;2;2;1;53323;0;0;1;1;0;2;1;8000;1;8000;2;0;1;6000;1;6000;1;14000;1;20000;10000.0;1;3;4;849
2;1;2;1;21;1;4;5;1;3;1;1;2;0;0.0;0;0;2;6000;5;2;2;1;45312;0;0;3;2;4;0;2;0;2;0;2;0;1;6000;1;6000;1;6000;1;20000;10000.0;1;3;4;849
2;1;3;1;48;2;5;5;1;3;0;0;0;1;57.0;2;0;2;9700;9;0;0;0;55314;0;0;3;1;0;2;1;10000;1;10000;2;0;2;0;2;0;1;10000;1;20000;10000.0;2;1;1;849
3;1;1;1;19;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;6000;1;6000;1;12000;6000.0;1;3;4;794
3;1;2;1;21;2;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;6000;1;6000;1;12000;6000.0;1;3;4;794
4;1;1;2;19;2;1;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3000;2;0;2;0;2;0;1;3000;1;11500;5750.0;2;1;1;300
4;1;2;2;21;1;4;5;1;3;0;0;0;1;48.0;2;0;2;4803;3;2;2;1;20323;0;0;3;1;0;2;1;8500;1;8500;2;0;2;0;2;0;1;8500;1;11500;5750.0;2;1;1;300
5;1;1;1;20;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;22000;2;0;1;52000;1;52000;1;52000;52000.0;1;3;2;761
6;1;1;1;20;2;1;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;15000;1;15000;9;27000;13500.0;1;3;2;711
6;1;2;1;27;2;4;5;1;3;0;0;0;1;45.0;2;0;2;5500;3;2;2;2;10333;0;0;1;1;0;2;9;12000;9;12000;2;0;2;0;2;0;9;12000;9;27000;13500.0;2;4;2;711
7;1;1;1;20;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20000;1;20000;1;20000;20000.0;1;3;2;905
8;1;1;1;20;2;1;5;1;3;0;0;0;1;4.0;2;0;2;8200;5;2;2;1;53314;0;0;3;2;3;0;1;500;2;0;2;0;2;0;1;10000;1;10000;1;10000;10000.0;1;3;5;911
9;1;1;1;20;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;12500;1;12500;1;12500;12500.0;1;3;3;794
10;1;1;1;20;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;15000;9;15000;9;21000;10500.0;1;3;2;788
10;1;2;1;20;1;6;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;6000;9;6000;9;21000;10500.0;1;3;2;788
11;1;1;2;20;1;1;5;1;3;0;0;0;1;60.0;2;0;2;8401;6;1;2;2;48313;0;0;1;1;0;2;1;25000;1;25000;2;0;2;0;2;0;1;25000;1;25000;25000.0;2;2;2;2109
12;1;1;2;20;1;1;1;1;3;0;0;0;1;48.0;1;1;2;1009;1;2;2;2;80313;0;0;1;1;0;1;1;12000;1;16000;2;0;2;0;2;0;1;16000;1;26000;13000.0;2;1;1;300
12;1;2;2;24;2;2;1;1;3;0;0;0;1;54.0;2;0;2;5601;3;2;2;1;53314;0;0;3;1;0;2;1;10000;1;10000;2;0;2;0;2;0;1;10000;1;26000;13000.0;2;2;1;300
13;1;1;2;21;2;1;5;1;3;0;0;0;1;40.0;2;0;1;8200;5;2;2;2;10333;0;0;1;1;0;2;1;16000;1;16000;2;0;2;0;1;5500;1;21500;1;21500;21500.0;1;3;3;2088
14;1;1;1;21;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;3000;1;3000;1;3000;3000.0;1;3;2;756
15;1;1;1;21;2;1;5;1;2;0;0;0;1;6.0;2;0;2;8502;7;2;5;1;41112;1;2;0;0;0;0;1;500;1;500;2;0;1;10000;1;12000;1;12500;1;12500;12500.0;1;3;4;912
16;1;1;1;21;2;1;5;1;3;0;0;0;1;20.0;1;1;1;8401;6;1;2;2;10333;0;0;3;1;0;2;1;7000;1;7000;2;0;2;0;1;4000;1;11000;1;11000;11000.0;1;3;5;795
17;1;1;1;21;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;10000;1;10000;1;22500;11250.0;1;3;4;756
17;1;2;1;19;1;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;12500;1;12500;1;22500;11250.0;1;3;4;756
18;1;1;1;21;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;3000;1;3000;1;9000;4500.0;1;3;2;717
18;1;2;1;25;2;4;2;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3000;2;0;2;0;1;3000;1;6000;1;9000;4500.0;1;3;1;717
19;1;1;3;21;1;1;1;1;3;1;2;1;0;0.0;0;0;2;5300;4;2;2;1;35323;0;0;3;1;0;2;1;15000;1;15000;2;0;2;0;2;0;1;15000;1;15000;5000.0;2;1;1;249
19;1;2;3;19;2;2;1;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;15000;5000.0;2;1;1;249
19;1;3;3;0;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15000;5000.0;3;1;1;249
20;1;1;3;21;1;1;1;1;3;0;0;0;1;35.0;2;0;2;5202;4;2;2;1;34314;0;0;1;1;0;1;1;20000;1;30000;2;0;2;0;2;0;1;30000;1;34700;11566.7;2;1;2;267
20;1;2;3;21;2;2;1;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;4700;1;4700;1;34700;11566.7;1;1;2;267
20;1;3;3;0;1;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;34700;11566.7;3;1;2;267
21;1;1;3;21;1;1;5;1;3;0;0;0;1;48.0;2;0;2;4808;3;2;2;2;32314;0;0;1;1;0;2;9;14000;9;14000;2;0;2;0;2;0;9;14000;9;25000;12500.0;2;1;2;586
21;1;2;3;25;1;4;5;1;3;0;0;0;1;72.0;1;1;1;4903;4;2;2;1;40314;0;0;3;1;0;2;1;9000;1;9000;2;0;2;0;1;2000;1;11000;9;25000;12500.0;2;1;1;586
22;1;1;2;22;1;1;5;1;3;0;0;0;1;6.0;2;0;1;4000;2;2;2;1;72314;0;0;3;2;3;0;1;800;2;0;2;0;2;0;1;4000;1;4000;1;4000;4000.0;1;3;2;941
23;1;1;1;22;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;6000;9;6000;9;15450;7725.0;1;3;3;722
23;1;2;1;84;2;6;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;9450;2;0;1;9450;1;9450;9;15450;7725.0;2;1;2;722
24;1;1;1;22;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;5000;1;5000;1;22000;11000.0;1;3;4;789
24;1;2;1;23;1;6;5;1;3;0;0;0;1;30.0;2;0;2;8401;6;1;2;2;10333;0;0;1;1;0;1;1;14000;1;17000;2;0;2;0;2;0;1;17000;1;22000;11000.0;2;3;2;789
25;1;1;1;22;1;1;5;1;2;0;0;0;1;70.0;2;0;2;7400;5;2;1;1;50132;2;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;9;5000;1666.7;1;3;3;798
25;1;2;1;18;2;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;2000;9;2000;9;5000;1666.7;1;3;3;798
25;1;3;1;18;2;6;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;3000;9;3000;9;5000;1666.7;1;3;3;798
